Status,category,start,end,secondaryCat,reason,agency,ecosystem,dataType,project
SentData,oil,1998,1999,NA,NA,UAF,marine,oil,SentData-447
Unrecoverable,terrestrial,1995,1999,NA,data lost,UAF,terrestrial/freshWater,biological-mammals,Unrecoverable-453
Replied,fish,1989,1989,NA,NA,UAF,marine,biological-fish,Replied-464
Replied,fish,2000,2000,NA,NA,UAF,marine,biological-fish,Replied-466
Replied,fish,1995,2000,NA,NA,APEX,marine,biological-fish,Replied-484
Unrecoverable,marineBirds,1991,1993,NA,non digital,ADFG,marine,biological-birds,Unrecoverable-486
Replied,modeling,2000,2000,NA,NA,APEX,marine,modeling,Replied-491
Replied,marineBirds,1998,1998,NA,NA,ABR Inc.,marine,biological-birds,Replied-493
Replied,marineBirds,2000,2000,NA,NA,"UAF, ABR Inc.",marine,biological-birds,Replied-497
Replied,marineBirds,1994,1995,NA,NA,USFWS,marine,biological-birds,Replied-502
Replied,marineBirds,1995,1996,NA,NA,USFWS,marine,biological-birds,Replied-504
Replied,marineBirds,1997,1997,NA,NA,USFWS,marine,biological-birds,Replied-509
Replied,marineBirds,1991,1992,NA,NA,USFWS,marine,biological-birds,Replied-511
Unrecoverable,marineBirds,1989,1991,NA,non digital,WDFG,marine,biological-birds,Unrecoverable-513
Unrecoverable,marineBirds,1992,1992,NA,non digital,AMNWR,marine,biological-birds,Unrecoverable-515
Unrecoverable,marineBirds,1996,2002,NA,non digital,USFWS,marine,biological-birds,Unrecoverable-518
Unrecoverable,marineBirds,1995,2000,NA,non digital,USFWS,marine,biological-birds,Unrecoverable-520
Unrecoverable,marineBirds,1993,1995,NA,non digital,USFWS,marine,biological-birds,Unrecoverable-523
Unrecoverable,fish,1995,2000,NA,no contact info,USFWS,marine,biological-fish,Unrecoverable-527
Replied,fish,2007,2007,NA,NA,USGS,marine,biological-fish,Replied-536
Replied,marineBirds,1989,1990,NA,NA,APEX,marine,biological-birds,Replied-540
SentData,marineBirds,1989,1990,NA,NA,USFWS,marine,biological-birds,SentData-542
Emailed,fish,2007,2010,NA,NA,NOAA,marine,biological-fish,Emailed-545
Replied,mammals,1989,1989,NA,NA,NOAA,marine,biological-mammals,Replied-547
Unrecoverable,fish,2007,2009,NA,non digital,MariCal,marine,biological-fish,Unrecoverable-549
Replied,fish,1998,2000,NA,NA,WWash Univ.,marine,biological-fish,Replied-551
Replied,fish,1996,1999,NA,NA,Idaho St. U.?,marine,biological-fish,Replied-560
Replied,mammals,1999,2002,NA,NA,Texas A&M,marine,biological-mammals,Replied-562
Unrecoverable,fish,1992,1992,NA,no contact info,ADFG,marine,biological-fish,Unrecoverable-564
Replied,fish,1989,1992,NA,NA,ADFG,marine,biological-fish,Replied-567
Replied,mammals,1995,1998,NA,NA,NOAA,marine,biological-mammals,Replied-570
Replied,mammals,1994,2000,NA,NA,ADFG,marine,biological-mammals,Replied-572
Replied,marineBirds,1997,2000,NA,NA,APEX,marine,biological-birds,Replied-574
Unrecoverable,modeling,1990,1992,NA,requested funding,ADFG,marine,modeling,Unrecoverable-576
Replied,habitat,2002,2003,NA,NA,USGS,marine,biological-habitat,Replied-581
Replied,oil,1999,1999,NA,NA,USGS,marine,oil,Replied-583
Replied,inverts,1991,1991,NA,NA,USGS,marine,biological-benthicInverts,Replied-585
Replied,habitat,2004,2004,NA,NA,USGS,marine,biological-habitat,Replied-587
Unrecoverable,fish,1989,1992,NA,data lost,ADFG,marine,biological-fish,Unrecoverable-590
Replied,fish,1989,1992,NA,NA,ADFG,marine,biological-fish,Replied-592
Unrecoverable,fish,1997,2002,NA,non digital,ADFG,marine,biological-fish,Unrecoverable-596
Unrecoverable,fish,1995,2000,NA,no contact info,ADFG,marine,biological-fish,Unrecoverable-599
Emailed,fish,2002,2004,NA,NA,UAF,marine,biological-fish,Emailed-603
Replied,fish,1999,2003,NA,NA,USGS,marine,biological-fish,Replied-605
Replied,habitat,2003,2010,NA,NA,USGS,marine,biological-habitat,Replied-608
Replied,mammals,2004,2004,NA,NA,USGS,marine,biological-mammals,Replied-611
Replied,terrestrial,1995,1995,NA,NA,ADFG,terrestrial/freshWater,biological-benthicInverts,Replied-614
Replied,mammals,2007,2010,NA,NA,USGS,marine,biological-mammals,Replied-617
Replied,modeling,1998,2000,NA,NA,U. Vic,marine,modeling,Replied-622
Replied,mammals,1993,1994,NA,NA,USGS,marine,biological-mammals,Replied-627
Replied,mammals,2001,2001,NA,NA,USGS,marine,biological-mammals,Replied-629
Replied,fish,2004,2004,NA,NA,USGS,marine,biological-mammals,Replied-631
Replied,terrestrial,1995,1995,NA,NA,USFWS,terrestrial/freshWater,biological-birds,Replied-637
Replied,terrestrial,1989,1992,NA,NA,USFWS,terrestrial/freshWater,biological-birds,Replied-639
Replied,marineBirds,1995,1995,NA,NA,USFWS,marine,biological-birds,Replied-643
Replied,oil,2002,2003,NA,NA,NOAA,marine,oil,Replied-646
Replied,oil,2003,2004,NA,NA,NOAA,marine,oil,Replied-648
Replied,fish,2004,2004,NA,NA,NOAA,marine,biological-fish,Replied-650
Replied,modeling,1995,1998,NA,NA,UAF,marine,modeling,Replied-661
Emailed,fish,1995,1996,NA,NA,NOAA,marine,biological-fish,Emailed-665
Emailed,fish,1999,1999,NA,NA,NOAA,marine,biological-fish,Emailed-667
Emailed,fish,2000,2001,NA,NA,NOAA,marine,biological-fish,Emailed-669
Emailed,fish,1995,1996,NA,NA,USGS,marine,biological-fish,Emailed-672
Emailed,fish,1996,1996,marine birds,NA,USGS,marine,biological-fish,Emailed-674
Emailed,marineBirds,1999,2002,NA,NA,USGS,marine,biological-birds,Emailed-676
Emailed,marineBirds,2000,2000,NA,NA,USGS,marine,biological-birds,Emailed-678
Emailed,marineBirds,2002,2002,NA,NA,USGS,marine,biological-birds,Emailed-680
Emailed,marineBirds,1998,2001,NA,NA,USGS,marine,biological-birds,Emailed-682
Replied,marineBirds,1998,2001,NA,NA,ADFG,marine,biological-birds,Replied-686
Replied,oil,2007,2011,NA,NA,NJ Inst. Of Tech,marine,oil,Replied-695
Unrecoverable,fish,2000,2003,NA,unwilling to share,NOAA,marine,biological-fish,Unrecoverable-698
Unrecoverable,fish,1994,1995,NA,unwilling to share,NOAA,marine,biological-fish,Unrecoverable-700
Unrecoverable,oil,1989,1990,NA,unwilling to share,NOAA,marine,oil,Unrecoverable-702
Emailed,fish,1996,1999,NA,NA,UCD,marine,biological-fish,Emailed-704
Unrecoverable,inverts,2003,2004,NA,unwilling to share,PWSSC,marine,biological-benthicInverts,Unrecoverable-709
published,marineBirds,2007,2009,NA,archived with current data,PWSSC,marine,biological-birds,published-711
Replied,fish,1994,1999,NA,NA,PWSSC,marine,biological-fish,Replied-713
Unrecoverable,marineBirds,1999,1999,NA,non digital,PWSSC,marine,biological-birds,Unrecoverable-715
Emailed,oceanography,1995,1999,NA,NA,Navy,marine,physical,Emailed-717
Emailed,marineBirds,1995,2000,NA,NA,USFWS,marine,biological-birds,Emailed-731
Emailed,marineBirds,1998,2001,NA,NA,USFWS,marine,biological-birds,Emailed-733
Unrecoverable,fish,1989,1989,NA,no contact info,UAF,marine,biological-fish,Unrecoverable-738
Replied,marineBirds,1995,2000,NA,NA,USFWS,marine,biological-birds,Replied-740
Replied,fish,1994,1999,NA,NA,FWS,marine,biological-fish,Replied-744
Replied,mammals,1998,2001,NA,NA,UAF,marine,biological-mammals,Replied-748
Replied,fish,1996,2002,NA,NA,FWS,marine,biological-fish,Replied-753
Replied,fish,1996,1996,NA,NA,FWS,marine,biological-fish,Replied-756
Emailed,oceanography,2002,2006,NA,NA,ADFG,marine,physical,Emailed-761
Emailed,fish,1994,1998,NA,NA,ADFG,marine,biological-fish,Emailed-769
Replied,fish,1996,1996,NA,NA,PWSAC,marine,biological-fish,Replied-772
Unrecoverable,fish,1996,1998,NA,data lost,USFS,marine,biological-fish,Unrecoverable-773
Replied,modeling,1998,2000,NA,NA,USFWS,marine,modeling,Replied-776
Replied,marineBirds,1996,1998,NA,NA,Environmental Laboratory,marine,biological-birds,Replied-778
Replied,marineBirds,2008,2011,NA,NA,UAF,marine,biological-birds,Replied-779
Unrecoverable,inverts,2000,2003,NA,data lost,Jellett Biotek Limited,marine,biological-benthicInverts,Unrecoverable-785
Replied,fish,1998,1999,NA,NA,UW,marine,biological-fish,Replied-786
Replied,mammals,1992,1992,NA,NA,NOAA,marine,biological-mammals,Replied-788
Replied,fish,1992,1994,NA,NA,UW,marine,biological-fish,Replied-789
Unrecoverable,terrestrial,1998,2000,NA,requested funding,University of Wyming,terrestrial/freshWater,biological-mammals,Unrecoverable-797
Unrecoverable,fish,1995,1995,NA,data lost,University of Central Florida,marine,biological-fish,Unrecoverable-798
Unrecoverable,marineBirds,1992,1992,NA,data lost,DOI,marine,biological-birds,Unrecoverable-799
Replied,fish,1999,2001,NA,NA,ADFG,marine,biological-fish,Replied-803
Unrecoverable,terrestrial,1994,1994,NA,no contact info,ANMWR,terrestrial/freshWater,biological-birds,Unrecoverable-805
Unrecoverable,inverts,2002,2003,NA,data lost,UAF,marine,biological-benthicInverts,Unrecoverable-809
Replied,habitat,1999,1999,NA,NA,NOAA,marine,biological-habitat,Replied-811
Replied,marineBirds,1999,2000,NA,NA,EVOS,marine,biological-birds,Replied-812
Replied,marineBirds,2011,2011,NA,NA,EVOS,marine,biological-birds,Replied-815
Emailed,mapping,2003,2003,NA,NA,Cook Inletkeeper,marine,biological-habitat,Emailed-816
Emailed,fish,1995,1998,NA,NA,NOAA,marine,biological-fish,Emailed-818
Emailed,fish,1989,1992,NA,NA,NOAA,marine,biological-fish,Emailed-820
Replied,fish,1996,1998,NA,NA,UAF,marine,biological-fish,Replied-822
Emailed,mammals,1999,2001,NA,NA,UAF,marine,biological-mammals,Emailed-824
Replied,fish,1994,1994,NA,NA,PWSAC,marine,biological-fish,Replied-828
Published,marineBirds,1989,1991,NA,NA,Ecological Consulting,marine,biological-birds,Published-836
Unrecoverable,fish,1994,1994,NA,no contact info,USGS,marine,biological-fish,Unrecoverable-843
Replied,fish,2000,2002,NA,NA,USGS,marine,biological-fish,Replied-845
Emailed,fish,1997,2000,NA,NA,Port Graham,marine,biological-fish,Emailed-847
Emailed,mammals,2009,2009,NA,NA,USGS,marine,biological-mammals,Emailed-855
Replied,marineBirds,1994,1994,NA,NA,USFWS,marine,biological-birds,Replied-859
Emailed,fish,2002,2003,NA,NA,ADFG/independent,marine,biological-fish,Emailed-872
SentData,marineBirds,1992,1992,NA,NA,USFWS,marine,biological-birds,SentData-882
SentData,marineBirds,1994,1994,NA,NA,USFWS,marine,biological-birds,SentData-884
SentData,marineBirds,1989,1992,NA,NA,USFWS,marine,biological-birds,SentData-885
Replied,habitat,2002,2002,NA,NA,NOAA,marine,biological-habitat,Replied-890
Replied,habitat,2003,2004,NA,NA,PWSSC,marine,biological-habitat,Replied-892
Emailed,mammals,1989,1989,NA,NA,Alaska SeaLife Center,marine,biological-mammals,Emailed-903
Unrecoverable,marineBirds,1989,1989,NA,no contact info,NA,marine,biological-birds,Unrecoverable-905
Unrecoverable,anthropogenic,1989,1991,NA,no contact info,NA,NA,social,Unrecoverable-907
Published,inverts,1989,1992,NA,NA,ADFG,marine,biological-benthicInverts,Published-914
Published,inverts,1989,1992,NA,NA,ADFG,marine,biological-benthicInverts,Published-916
Unrecoverable,oil,1995,1997,NA,non digital,UAF,marine,oil,Unrecoverable-918
Replied,mammals,1993,1993,NA,NA,USGS,marine,biological-mammals,Replied-920
Replied,terrestrial,2003,2003,NA,NA,U. Vic,terrestrial/freshWater,physical,Replied-923
Emailed,oil,1993,1993,NA,NA,Texas A&M,marine,oil,Emailed-928
Emailed,oil,1995,1996,NA,NA,Texas A&M,marine,oil,Emailed-929
Replied,habitat,1992,1993,NA,NA,ADFG,marine,biological-habitat,Replied-932
Unrecoverable,oil,1992,1992,NA,data lost,ADFG,marine,oil,Unrecoverable-933
Unrecoverable,terrestrial,1989,1992,NA,data lost,ADFG,terrestrial/freshWater,biological-mammals,Unrecoverable-934
Unrecoverable,oil,2004,2006,NA,no contact info,NOAA,marine,oil,Unrecoverable-935
Unrecoverable,habitat,1995,1995,NA,no contact info,USGS,marine,biological-habitat,Unrecoverable-936
Unrecoverable,habitat,1993,1995,NA,no contact info,ADNR,marine,biological-habitat,Unrecoverable-937
Unrecoverable,oil,1996,1996,NA,no contact info,Columbia analysitcal services,marine,oil,Unrecoverable-938
Unrecoverable,fish,1993,1993,NA,no contact info,ADFG,marine,biological-fish,Unrecoverable-939
Published,oil,1991,1992,NA,no contact info,ADFG,marine,oil,Published-940
Emailed,habitat,1999,1999,NA,NA,URS,marine,biological-habitat,Emailed-941
Unrecoverable,inverts,1995,1999,NA,no contact info,Chugach Regional Resources Commission,marine,biological-benthicInverts,Unrecoverable-942
Replied,oil,1997,1999,NA,NA,NOAA,marine,oil,Replied-943
Replied,inverts,2007,2007,NA,NA,ADFG,marine,biological-benthicInverts,Replied-946
Unrecoverable,modeling,1997,2000,NA,no data generated,Ecological Consulting,marine,modeling,Unrecoverable-950
Replied,fish,2003,2006,NA,NA,ADFG,marine,biological-fish,Replied-952
Emailed,plankton,1994,1999,NA,NA,U Miami,marine,biological-plankton,Emailed-957
Replied,oceanography,2004,2004,NA,NA,ADFG,marine,physical,Replied-964
Replied,plankton,1994,1999,NA,NA,UAF,marine,biological-plankton,Replied-966
Replied,oceanography,2002,2002,NA,NA,NOAA,marine,physical,Replied-968
Emailed,habitat,2005,2005,NA,NA,ADFG,marine,biological-habitat,Emailed-971
Emailed,habitat,2002,2002,NA,NA,ADFG,marine,biological-habitat,Emailed-976
Unrecoverable,misc projects,1996,2007,NA,data lost,Chugach School District,marine,biological-birds,Unrecoverable-982
Unrecoverable,anthropogenic,1998,1998,NA,no data generated,ADFG,NA,social,Unrecoverable-996
Emailed,dataMgmt,1999,2001,NA,NA,AK Dept of Envtl Cons,NA,social,Emailed-1000
Emailed,fish,1998,2001,NA,NA,U Miami,marine,biological-fish,Emailed-1004
Unrecoverable,modeling,1994,1998,NA,no data generated,PWSSC,marine,modeling,Unrecoverable-1006
Replied,marineBirds,1989,1989,NA,NA,ADFG,marine,biological-birds,Replied-1014
Emailed,marineBirds,1989,1990,NA,NA,ADFG,marine,biological-birds,Emailed-1016
Replied,oil,2007,2007,NA,NA,Research & Plannning Inc.,marine,oil,Replied-1018
Emailed,oil,2005,2005,NA,NA,Research & Plannning Inc.,marine,oil,Emailed-1020
Replied,fish,2006,2007,NA,NA,U. Great Falls,marine,biological-fish,Replied-1022
Replied,fish,1989,1989,NA,NA,ADFG,marine,biological-fish,Replied-1024
Emailed,anthropogenic,1989,1991,NA,NA,UCSD,NA,social,Emailed-1026
Emailed,anthropogenic,1989,1991,NA,NA,Cornell Univ.,NA,social,Emailed-1028
Unrecoverable,anthropogenic,1989,1991,NA,no contact info,NA,NA,social,Unrecoverable-1030
Unrecoverable,anthropogenic,1989,1991,NA,no contact info,NA,NA,social,Unrecoverable-1032
Emailed,fish,2002,2003,NA,NA,USFWS,marine,biological-fish,Emailed-1036
Emailed,anthropogenic,1999,2002,NA,NA,ADFG,NA,social,Emailed-1049
Emailed,anthropogenic,1997,1999,NA,NA,Kodiak AK,NA,social,Emailed-1055
Replied,terrestrial,1997,1998,NA,NA,ADFG,terrestrial/freshWater,biological-fish,Replied-1058
Unrecoverable,anthropogenic,1994,1995,NA,no contact info,ADFG,NA,social,Unrecoverable-1075
Unrecoverable,terrestrial,1989,1991,NA,no contact info,NA,terrestrial/freshWater,biological-habitat,Unrecoverable-1081
Unrecoverable,terrestrial,1989,1990,NA,no contact info,NA,terrestrial/freshWater,biological-mammals,Unrecoverable-1083
Emailed,dataMgmt,2004,2004,NA,NA,AOOS,marine,social,Emailed-1089
Replied,freshWater,2002,2002,NA,NA,Cook Inletkeeper,terrestrial/freshWater,physical,Replied-1091
Unrecoverable,meta,1999,2000,NA,data lost,ADFG,NA,social,Unrecoverable-1098
Unrecoverable,anthropogenic,1999,1999,NA,no contact info,NA,NA,social,Unrecoverable-1100
Replied,habitat,1997,1997,NA,NA,URS,marine,biological-habitat,Replied-1107
Emailed,terrestrial,1994,1994,NA,NA,USFWS,terrestrial/freshWater,biological-habitat,Emailed-1119
Replied,dataMgmt,1994,1994,NA,NA,Alaska Pacific U.,NA,social,Replied-1121
Unrecoverable,dataMgmt,1993,1993,NA,no contact info,TNC,NA,social,Unrecoverable-1127
Unrecoverable,oil,1991,1991,NA,no contact info,NA,marine,oil,Unrecoverable-1130
Unrecoverable,unk,2004,2008,NA,no contact info,NA,NA,social,Unrecoverable-1141
Unrecoverable,mammals,2001,2005,NA,requested funding,Alaska SeaLife Center,marine,biological-mammals,Unrecoverable-1184
Replied,fish,1995,1998,NA,NA,Alaska Pacific U.,marine,biological-fish,Replied-1189
Replied,inverts,1995,1997,NA,NA,Alaska Pacific U.,marine,biological-benthicInverts,Replied-1192
Emailed,anthropogenic,1989,1991,NA,NA,UCSD,NA,social,Emailed-1195
Emailed,anthropogenic,1989,1991,NA,NA,UCSD,NA,social,Emailed-1198
Replied,marineBirds,2001,2001,NA,NA,USFWS,marine,biological-birds,Replied-1201
Replied,anthropogenic,1993,1993,NA,NA,ADFG,NA,social,Replied-1204
Unrecoverable,habitat,1989,1993,NA,no contact info,ADNR,marine,biological-habitat,Unrecoverable-1210
Replied,fish,2000,2002,NA,NA,ADFG,marine,biological-fish,Replied-1214
Emailed,fish,1996,2003,NA,NA,U. Montana,marine,biological-fish,Emailed-1216
Emailed,fish,1996,1999,NA,NA,Chugachmiut,marine,biological-fish,Emailed-1219
Emailed,terrestrial,1997,2000,NA,NA,coble geophysics,terrestrial/freshWater,biological-habitat,Emailed-1222
Replied,oil,1996,2002,NA,NA,NOAA,marine,oil,Replied-1225
Unrecoverable,habitat,1992,1993,NA,no contact info,ADNR,marine,biological-habitat,Unrecoverable-1227
Unrecoverable,oil,1989,1989,NA,no contact info,State of Alaska,marine,oil,Unrecoverable-1231
Unrecoverable,modeling,1995,1998,NA,data lost,NOAA,marine,modeling,Unrecoverable-1233
Unrecoverable,habitat,1997,1998,NA,data lost,USFS,marine,biological-habitat,Unrecoverable-1326
Unrecoverable,monitoring,1993,1995,NA,no contact info,ADNR,marine,physical,Unrecoverable-1336
Emailed,modeling,2007,2007,NA,NA,USC,marine,modeling,Emailed-1368
Replied,fish,1994,1995,NA,NA,ADFG,marine,biological-fish,Replied-1383
Replied,fish,1992,1997,NA,NA,UW,marine,biological-fish,Replied-1396
Published,fish,1989,1992,NA,NA,Bue Consulting,marine,biological-fish,Published-1439
Emailed,mammals,1989,1992,NA,NA,Alaska SeaLife Center,marine,biological-mammals,Emailed-1441
Unrecoverable,inverts,1989,1989,NA,no contact info,ADFG,marine,biological-benthicInverts,Unrecoverable-1444
SentData,inverts,1989,1992,NA,NA,NOAA,marine,biological-benthicInverts,SentData-1446
Unrecoverable,terrestrial,1989,1990,NA,data uvailable,ADFG,terrestrial/freshWater,biological-birds,Unrecoverable-1452
SentData,inverts,1989,1989,NA,NA,ADFG,marine,biological-benthicInverts,SentData-1454
Emailed,fish,2004,2004,NA,NA,USC,marine,biological-fish,Emailed-1456
SentData,fish,1997,1998,NA,NA,ADFG,marine,biological-fish,SentData-1459
Replied,inverts,1999,2002,NA,NA,NOAA,marine,biological-benthicInverts,Replied-1461
Unrecoverable,inverts,1989,1989,NA,no contact info,NOAA,marine,biological-benthicInverts,Unrecoverable-1463
Published,oil,1994,1995,NA,NA,NOAA,marine,oil,Published-1465
SentData,oil,1992,2008,NA,NA,NOAA,marine,oil,SentData-1473
SentData,oil,2005,2005,NA,NA,NOAA,marine,oil,SentData-1480
SentData,oil,2000,2001,NA,NA,NOAA,marine,oil,SentData-1482
SentData,oil,2000,2001,NA,NA,NOAA,marine,oil,SentData-1484
SentData,oil,1989,1992,NA,NA,NOAA,marine,oil,SentData-1486
SentData,oil,1989,1989,NA,NA,NOAA,marine,oil,SentData-1488
SentData,fish,1989,1992,NA,NA,NOAA,marine,biological-fish,SentData-1490
Emailed,terrestrial,1989,1991,NA,NA,UAF,terrestrial/freshWater,biological-mammals,Emailed-1492
SentData,terrestrial,1989,1990,NA,NA,ADFG,terrestrial/freshWater,biological-mammals,SentData-1497
Published,inverts,1993,2009,inverts,NA,PWSRCAC,marine,biological-benthicInverts,Published-974
Published,oceanography,2000,2009,plankton,NA,SAHFOS,marine,biological-plankton,Published-170
Published,marineBirds,2011,2012,predation on Herring,NA,PWSSC,marine,biological-birds,Published-
Published,oceanography,2009,2012,larvae,NA,UAF,marine,physical,Published-645
Published,oceanography,1989,1989,oceanography,NA,PWSSC,marine,physical,Published-944
Published,anthropogenic,2000,2000,Parcel process,NA,ADNR,NA,social,Published-476
Published,marineBirds,1993,2004,colony surveys,NA,Sound Eco Adventures,marine,biological-birds,Published-279
Published,oceanography,1993,1993,oceanography,NA,NOAA,marine,physical,Published-1443
Published,oceanography,2004,2008,plankton,NA,UAF,marine,physical,Published-693
Published,oceanography,1994,1997,river flow,NA,Cook Inletkeeper,marine,physical,Published-413
Published,oceanography,2004,2005,oceanography,NA,ABR Inc,marine,physical,Published-500
Published,inverts,1997,2001,infau inverts,NA,ABR Inc,marine,biological-benthicInverts,Published-718
Published,fish,2004,2004,NA,NA,UAF,marine,biological-fish,Published-460
Published,oceanography,1990,1995,oceanography,NA,KBRR (state),marine,physical,Published-1408
Published,fish,2001,2013,NA,NA,NOAA,marine,biological-fish,Published-565
Published,marineBirds,1984,1998,population data,NA,USGS,marine,biological-birds,Published-814
Published,inverts,1993,2004,infau inverts,NA,UAF,marine,biological-benthicInverts,Published-912
Published,mammals,1975,2001,NA,NA,ADFG,marine,biological-mammals,Published-143
Published,fish,1989,2001,NA,NA,UAF,marine,biological-fish,Published-736
Published,marineBirds,1995,1998,nesting,NA,USFWS,marine,biological-birds,Published-857
Published,fish,1995,2000,NA,NA,UAF,marine,biological-fish,Published-861
Published,habitat,1989,1991,habitat assessment,NA,UAF,marine,biological-habitat,Published-likely a different project from 861; could be 626
Published,fish,1990,1995,NA,NA,ADFG,marine,biological-fish,Published-990
Published,mammals,1995,1998,NA,NA,Alaska SeaLife Center,marine,biological-mammals,Published-may be 594
Published,habitat,1997,2010,algae,NA,UAF,marine,biological-habitat,Published-likely 460
Published,oceanography,1990,1995,oceanography,NA,ADEC,marine,physical,Published-same as 791
Published,habitat,1994,1998,communties,NA,UAF,marine,biological-habitat,Published-478
Published,inverts,2003,2004,infau inverts,NA,Littoral Ecological & Environmental Services,marine,biological-benthicInverts,Published-1520
Published,inverts,2000,2000,infau inverts,NA,Littoral Ecological & Environmental Services,marine,biological-benthicInverts,Published-948
Published,mammals,2007,2007,NA,NA,NOAA,marine,biological-mammals,Published-dataset1527
Published,fish,2007,2008,NA,NA,Sitka Tribe,marine,biological-fish,Published-1038
Published,fish,2007,2011,NA,NA,NOAA,marine,biological-fish,Published-1347
Published,fish,1995,1999,NA,NA,UAF,marine,biological-fish,Published-story77
Published,marineBirds,1999,1999,"population, nesting",NA,Pratt Museum,marine,biological-birds,Published-1104
Published,fish,1994,1998,NA,NA,USFWS,marine,biological-fish,Published-225
Published,fish,2005,2007,NA,NA,ADFG,marine,biological-fish,Published-801
Published,fish,1997,1999,NA,NA,UAF,marine,biological-fish,Published-416
Published,marineBirds,1989,1989,oiled birds,NA,University of Washington,marine,biological-birds,Published-1180
Published,marineBirds,2003,2004,predation on K. tunicata,NA,University of Washington,marine,biological-birds,Published-164
Published,habitat,1982,2000,metadata,NA,NOAA,marine,biological-habitat,Published-925
Published,fish,2000,2002,NA,NA,USGS,marine,biological-fish,Published-1044
Published,mammals,1992,1999,NA,NA,ADFG,marine,biological-mammals,Published-959
Published,oceanography,1994,1996,plankton,NA,NOAA,marine,physical,Published-204
Published,mammals,1978,2009,NA,NA,UAF,marine,biological-mammals,Published-story217
Published,oceanography,1970,2012,oceanography,NA,UAF,marine,physical,Published-63
Published,fish,2005,2007,NA,NA,ADFG,marine,biological-fish,Published-1494
Published,mammals,1989,1992,NA,NA,NOAA,marine,biological-mammals,Published-729
SentData,marineBirds,1989,1992,NA,NA,ANMWR,marine,biological-birds,SentData-807
SentData,fish,1989,1992,NA,NA,ADFG,marine,biological-fish,SentData-1448
SentData,fish,1989,1992,NA,NA,NOAA,marine,biological-fish,SentData-1450
Published,oil,1991,1992,NA,NA,NOAA,marine,oil,Published-1467
SentData,marineBirds,1989,1994,NA,NA,ADFG,marine,biological-birds,SentData-1469
SentData,terrestrial,1989,1991,NA,NA,ADFG,terrestrial/freshWater,biological-mammals,SentData-1499
Published,fish,1973,2010,NA,NA,NOAA,marine,biological-fish,Published-742
Published,oceanography,2003,2003,oceanography,NA,PWSSC,marine,physical,Published-532
Published,anthropogenic,2000,2009,resource use,NA,EVOSTC,NA,social,Published-1002
Published,fish,1998,1999,NA,NA,PWS Aquaculture Association,marine,biological-fish,Published-762
Published,oil,1989,1989,oil maps,NA,ADEC,marine,oil,Published-151
Published,habitat,2010,2010,map,NA,NOAA,marine,biological-habitat,Published-707
Published,mammals,1984,2012,NA,NA,NGOS,marine,biological-mammals,Published-127
Published,mammals,2006,2009,NA,NA,NOAA,marine,biological-mammals,Published-445
Published,fish,1997,1997,NA,NA,USFS,marine,biological-fish,Published-832
Published,oceanography,1990,1996,plankton,NA,Golder Associates LTD,marine,physical,Published-610
Published,oceanography,2001,2001,plankton,NA,PWSSC,marine,physical,Published-534
